_date,total_views,unique_views
2023-08-14,458,14
2023-08-15,1114,15
2023-08-16,806,14
2023-08-17,176,29
2023-08-18,116,18
2023-08-19,83,8
2023-08-20,36,7
2023-08-21,199,24
2023-08-22,36,11
2023-08-23,89,20
2023-08-24,59,13
2023-08-25,30,7
2023-08-26,38,10
2023-08-27,43,8
2023-08-28,22,11
2023-08-29,99,17
2023-08-30,32,14
2023-08-31,45,20
2023-09-01,101,18
2023-09-02,18,5
2023-09-03,5,5
2023-09-04,17,8
2023-09-05,49,17
2023-09-06,17,14
2023-09-07,39,14
2023-09-08,15,10
2023-09-09,5,3
2023-09-10,7,5
2023-09-11,18,12
2023-09-12,19,8
2023-09-13,23,8
2023-09-14,29,19
2023-09-15,19,14
2023-09-16,3,3
2023-09-17,9,2
2023-09-18,23,13
2023-09-19,93,14
2023-09-20,78,22
2023-09-21,36,24
2023-09-22,72,19
2023-09-23,41,12
2023-09-24,8,5
2023-09-25,34,13
2023-09-26,22,12
2023-09-27,161,22
2023-09-28,247,34
2023-09-29,52,38
2023-09-30,23,6
2023-10-01,62,9
2023-10-02,41,23
2023-10-03,55,22
2023-10-04,65,11
2023-10-05,63,20
2023-10-06,147,13
2023-10-07,39,13
2023-10-08,51,12
2023-10-09,31,9
2023-10-10,46,19
2023-10-11,80,17
2023-10-12,92,18
2023-10-13,22,17
2023-10-14,108,13
2023-10-15,45,10
2023-10-16,141,17
2023-10-17,42,12
2023-10-18,105,29
2023-10-19,94,20
2023-10-20,30,16
2023-10-21,107,9
2023-10-22,22,6
2023-10-23,23,11
2023-10-24,89,23
2023-10-25,19,12
2023-10-26,145,12
2023-10-27,94,14
2023-10-28,4,4
2023-10-29,1,1
2023-10-30,94,22
2023-10-31,24,15
2023-11-01,8,8
2023-11-02,28,10
2023-11-03,38,10
2023-11-04,9,4
2023-11-05,364,7
2023-11-06,1460,24
2023-11-07,225,16
2023-11-08,50,11
2023-11-09,123,14
2023-11-10,64,15
2023-11-11,147,8
2023-11-12,137,20
2023-11-13,136,24
2023-11-14,383,21
2023-11-15,71,13
2023-11-16,116,15
2023-11-17,34,12
2023-11-18,26,17
2023-11-19,25,17
2023-11-20,125,28
2023-11-21,34,24
2023-11-22,29,17
2023-11-23,18,14
2023-11-24,17,14
2023-11-25,10,8
2023-11-26,18,8
2023-11-27,17,10
2023-11-28,58,15
2023-11-29,33,13
2023-11-30,26,12
2023-12-01,31,14
2023-12-02,62,6
2023-12-03,26,6
2023-12-04,72,32
2023-12-05,225,81
2023-12-06,56,27
2023-12-07,44,23
2023-12-08,85,20
2023-12-09,10,9
2023-12-10,23,14
2023-12-11,55,23
2023-12-12,42,17
2023-12-13,48,11
2023-12-14,33,20
2023-12-15,85,12
2023-12-16,38,10
2023-12-17,27,8
2023-12-18,14,9
2023-12-19,184,20
2023-12-20,23,11
2023-12-21,59,10
